genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Opera,Giacomo Puccini,"Tosca, S. 69, Act I: E buona la mia Tosca",5CteDgT6qtg5VR0ZH1356E,13,0.942,0.4,305493,0.231,0.0301,A#,0.457,-19.174,Major,0.0731,121.541,4/4,0.32
Ska,Stacked Like Pancakes,Renegade,0emtnTeCgjAYQGOQXknLgy,16,0.0224,0.554,230699,0.913,1.44e-06,B,0.159,-5.541,Major,0.0972,95.111,4/4,0.687
Comedy,Patrice O'Neal,Pussy Threats,3xJgKPYGo6pPto4XdvVLOe,22,0.967,0.466,311553,0.837,0.000163,F#,0.399,-7.374,Major,0.906,81.322,3/4,0.677
Dance,Charlie Puth,As You Are (feat. Shy Carter),5T5X1awq0Tzg0NgQ4bSVAE,43,0.361,0.819,235920,0.523,0.0,D,0.0716,-6.202,Major,0.0449,113.952,4/4,0.699
Children's Music,The Wayfarers,It's a Brown Slouch Hat / Dinki Di / Take Me Back to Dear Old Aussie / Is He an Aussie Lizzie / Sulva Bay / Bless 'em All,0I9VnS5B2l3L84R3TBeof9,0,0.505,0.612,392333,0.335,0.0,D,0.15,-10.725,Major,0.043,109.833,4/4,0.622
Rock,NEEDTOBREATHE,Washed By The Water,3rXoaocGAOEq6CorwCiI4J,52,0.0708,0.458,208253,0.751,0.0105,B,0.169,-4.681,Major,0.032,140.895,4/4,0.387
Electronic,Black Tiger Sex Machine,Rezorecta - Original Mix,6m8nam9F3RnCwTFcloCtaD,31,1.28e-05,0.688,360296,0.87,0.748,A,0.215,-6.697,Major,0.0499,127.967,4/4,0.174
Electronic,Amon Tobin,At The End Of The Day,2kmOzndbVl8GomtgVGmEHS,42,0.264,0.465,192200,0.78,3.68e-05,G#,0.35,-7.064,Major,0.0323,81.989,4/4,0.329
Rock,Eagles,In the City - Eagles 2013 Remaster,3fgch6faHYPKqE6C3hIYfo,55,0.0226,0.448,224550,0.55,0.205,A,0.0425,-7.427,Major,0.026,81.814,4/4,0.709
Comedy,Steve Martin,The Great Remember (for Nancy),7rQZBa7ftCF9cNsLkl9ROk,26,0.865,0.45,190720,0.327,0.163,C,0.0762,-13.601,Major,0.0346,106.009,4/4,0.407
Ska,Reel Big Fish,Another Beer Song,21GWCsXuJyyBaiBFrzZCbT,37,0.0256,0.528,125539,0.931,0.0,A,0.264,-2.778,Major,0.0562,127.007,4/4,0.874
Classical,Jonny Greenwood,Nina Through Glass,5gIFszvR1JmnS324efDLMu,25,0.974,0.512,202209,0.163,0.966,D,0.124,-17.389,Major,0.0361,106.16,3/4,0.193
Soul,Dusty Springfield,Son Of A Preacher Man,6ek9SiEj5a65WIs2EV7qiM,71,0.538,0.404,148053,0.43,0.0,E,0.0802,-12.327,Major,0.224,180.061,4/4,0.641
Rock,Whitesnake,Still of the Night - 2018 Remaster,40GS2O35HIqhOVCFZZTfFF,58,0.00235,0.334,397768,0.854,0.00114,E,0.158,-7.531,Minor,0.0494,100.175,4/4,0.284
World,Lubomyr Melnyk,Sunset,6sTz83RHPRJeaRqBxIsij5,33,0.951,0.112,229293,0.358,0.858,C,0.111,-13.927,Major,0.0325,45.803,4/4,0.0984
Country,Upchurch,Tennessee Tilt,2E2c5EcxX9o1nMPcQbHEw5,41,0.111,0.761,149428,0.779,0.0,D,0.366,-6.88,Major,0.358,180.204,4/4,0.536
Jazz,Chris Botti,Are You Lonesome Tonight?,7FWEDbQYuQtR1DhATgXxRg,55,0.927,0.346,240120,0.051,0.00013,G,0.111,-17.526,Major,0.037,111.321,4/4,0.128
Ska,Los Auténticos Decadentes,Como la Abeja y la Flor - MTV Unplugged,3HMzw9kcmZC6UxYI24vWy4,50,0.311,0.689,246837,0.731,7.36e-06,F#,0.716,-7.326,Minor,0.0653,109.32,4/4,0.83
Opera,Adolphe Adam,"O, Holy Night",0IPZV1xZ66u9tZpHs5rqrP,7,0.93,0.162,154227,0.247,0.399,D#,0.107,-15.706,Major,0.0331,77.116,4/4,0.0766
Ska,NOFX,Can't Get the Stink Out,748F4dbCMd6PAVxQ7w7REK,20,0.000435,0.408,67693,0.954,0.437,G#,0.226,-5.28,Major,0.0591,103.903,4/4,0.295
Alternative,The Neighbourhood,Blue,3BQbwXb8lMLLRBeLl6HTu8,51,0.524,0.56,190133,0.598,0.698,F,0.172,-8.386,Minor,0.0388,82.991,4/4,0.388
Children's Music,Kimbo Children's Music,Won't You Come and Dance with Me,4yH6yEr33kQSHePNQA61DW,0,0.967,0.741,34720,0.36,0.0275,C,0.0928,-7.62,Major,0.096,77.195,4/4,0.758
